@runq_delay_us: 
[1]                    3 |                                                    |
[2, 4)               892 |@@@@@@@@@@@@@                                       |
[256K, 512K)           3 |                                                    |

@ctx_switches: 13758858
@runq_delay_us: 
[1]               364544 |@@@@@@@                                             |
[2, 4)           2401015 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[4, 8)           2428766 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)          1155477 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1015275 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          427885 |@@@@@@@@@                                           |
[64, 128)         247940 |@@@@@                                               |
[128, 256)        229931 |@@@@                                                |
[256, 512)        192051 |@@@@                                                |
[512, 1K)         132412 |@@                                                  |
[1K, 2K)           53958 |@                                                   |
[2K, 4K)           24094 |                                                    |
[4K, 8K)            2217 |                                                    |
[8K, 16K)            478 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 13899606
@runq_delay_us: 
[1]               370584 |@@@@@@@                                             |
[2, 4)           2432275 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[4, 8)           2449371 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)          1164991 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1024605 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          431678 |@@@@@@@@@                                           |
[64, 128)         248834 |@@@@@                                               |
[128, 256)        230573 |@@@@                                                |
[256, 512)        192478 |@@@@                                                |
[512, 1K)         132569 |@@                                                  |
[1K, 2K)           53995 |@                                                   |
[2K, 4K)           24109 |                                                    |
[4K, 8K)            2217 |                                                    |
[8K, 16K)            478 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14036027
@runq_delay_us: 
[1]               375704 |@@@@@@@                                             |
[2, 4)           2465801 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[4, 8)           2468934 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)          1175237 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1034901 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          435423 |@@@@@@@@@                                           |
[64, 128)         249757 |@@@@@                                               |
[128, 256)        231132 |@@@@                                                |
[256, 512)        192783 |@@@@                                                |
[512, 1K)         132675 |@@                                                  |
[1K, 2K)           54006 |@                                                   |
[2K, 4K)           24111 |                                                    |
[4K, 8K)            2218 |                                                    |
[8K, 16K)            478 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14173374
@runq_delay_us: 
[1]               381783 |@@@@@@@                                             |
[2, 4)           2496200 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2489046 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[8, 16)          1185768 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1045776 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          439945 |@@@@@@@@@                                           |
[64, 128)         250859 |@@@@@                                               |
[128, 256)        231665 |@@@@                                                |
[256, 512)        193117 |@@@@                                                |
[512, 1K)         132784 |@@                                                  |
[1K, 2K)           54051 |@                                                   |
[2K, 4K)           24122 |                                                    |
[4K, 8K)            2218 |                                                    |
[8K, 16K)            478 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14310165
@runq_delay_us: 
[1]               384285 |@@@@@@@                                             |
[2, 4)           2528804 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2507997 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[8, 16)          1195862 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1056547 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          444254 |@@@@@@@@@                                           |
[64, 128)         252003 |@@@@@                                               |
[128, 256)        232351 |@@@@                                                |
[256, 512)        193523 |@@@                                                 |
[512, 1K)         132926 |@@                                                  |
[1K, 2K)           54071 |@                                                   |
[2K, 4K)           24123 |                                                    |
[4K, 8K)            2218 |                                                    |
[8K, 16K)            478 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14441042
@runq_delay_us: 
[1]               390050 |@@@@@@@                                             |
[2, 4)           2559059 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2528096 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[8, 16)          1205862 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1066309 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          448628 |@@@@@@@@@                                           |
[64, 128)         253168 |@@@@@                                               |
[128, 256)        233122 |@@@@                                                |
[256, 512)        194051 |@@@                                                 |
[512, 1K)         133080 |@@                                                  |
[1K, 2K)           54140 |@                                                   |
[2K, 4K)           24148 |                                                    |
[4K, 8K)            2224 |                                                    |
[8K, 16K)            479 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14575875
@runq_delay_us: 
[1]               396727 |@@@@@@@                                             |
[2, 4)           2590982 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2548911 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ |
[8, 16)          1215591 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1075925 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          452323 |@@@@@@@@@                                           |
[64, 128)         254019 |@@@@@                                               |
[128, 256)        233672 |@@@@                                                |
[256, 512)        194349 |@@@                                                 |
[512, 1K)         133247 |@@                                                  |
[1K, 2K)           54193 |@                                                   |
[2K, 4K)           24156 |                                                    |
[4K, 8K)            2224 |                                                    |
[8K, 16K)            479 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14714536
@runq_delay_us: 
[1]               405060 |@@@@@@@@                                            |
[2, 4)           2622290 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2569378 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@  |
[8, 16)          1224724 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1085053 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          456017 |@@@@@@@@@                                           |
[64, 128)         254942 |@@@@@                                               |
[128, 256)        234156 |@@@@                                                |
[256, 512)        194592 |@@@                                                 |
[512, 1K)         133376 |@@                                                  |
[1K, 2K)           54217 |@                                                   |
[2K, 4K)           24160 |                                                    |
[4K, 8K)            2224 |                                                    |
[8K, 16K)            479 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14853376
@runq_delay_us: 
[1]               407631 |@@@@@@@                                             |
[2, 4)           2656044 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2589924 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@  |
[8, 16)          1234982 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1095368 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          459897 |@@@@@@@@@                                           |
[64, 128)         255733 |@@@@@                                               |
[128, 256)        234574 |@@@@                                                |
[256, 512)        194862 |@@@                                                 |
[512, 1K)         133442 |@@                                                  |
[1K, 2K)           54226 |@                                                   |
[2K, 4K)           24160 |                                                    |
[4K, 8K)            2224 |                                                    |
[8K, 16K)            480 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 14988339
@runq_delay_us: 
[1]               410341 |@@@@@@@                                             |
[2, 4)           2691123 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2609596 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@  |
[8, 16)          1244407 |@@@@@@@@@@@@@@@@@@@@@@@@                            |
[16, 32)         1105009 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          463380 |@@@@@@@@                                            |
[64, 128)         256570 |@@@@                                                |
[128, 256)        235114 |@@@@                                                |
[256, 512)        195075 |@@@                                                 |
[512, 1K)         133546 |@@                                                  |
[1K, 2K)           54248 |@                                                   |
[2K, 4K)           24163 |                                                    |
[4K, 8K)            2225 |                                                    |
[8K, 16K)            480 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 15122317
@runq_delay_us: 
[1]               416998 |@@@@@@@                                             |
[2, 4)           2722579 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2628473 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@  |
[8, 16)          1253692 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1114497 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          466877 |@@@@@@@@                                            |
[64, 128)         257587 |@@@@                                                |
[128, 256)        235674 |@@@@                                                |
[256, 512)        195319 |@@@                                                 |
[512, 1K)         133652 |@@                                                  |
[1K, 2K)           54285 |@                                                   |
[2K, 4K)           24187 |                                                    |
[4K, 8K)            2225 |                                                    |
[8K, 16K)            480 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 15251583
@runq_delay_us: 
[1]               422018 |@@@@@@@                                             |
[2, 4)           2753572 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2648141 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@  |
[8, 16)          1263632 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1124580 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          470858 |@@@@@@@@                                            |
[64, 128)         258594 |@@@@                                                |
[128, 256)        236349 |@@@@                                                |
[256, 512)        195716 |@@@                                                 |
[512, 1K)         133729 |@@                                                  |
[1K, 2K)           54299 |@                                                   |
[2K, 4K)           24208 |                                                    |
[4K, 8K)            2225 |                                                    |
[8K, 16K)            480 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 15385281
@runq_delay_us: 
[1]               424551 |@@@@@@@                                             |
[2, 4)           2787445 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2669447 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@   |
[8, 16)          1273245 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1133847 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          474212 |@@@@@@@@                                            |
[64, 128)         259110 |@@@@                                                |
[128, 256)        236669 |@@@@                                                |
[256, 512)        196011 |@@@                                                 |
[512, 1K)         133798 |@@                                                  |
[1K, 2K)           54313 |@                                                   |
[2K, 4K)           24216 |                                                    |
[4K, 8K)            2225 |                                                    |
[8K, 16K)            480 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 15518978
@runq_delay_us: 
[1]               425072 |@@@@@@@                                             |
[2, 4)           2821654 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2689882 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@   |
[8, 16)          1282723 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1143589 |@@@@@@@@@@@@@@@@@@@@@                               |
[32, 64)          477396 |@@@@@@@@                                            |
[64, 128)         259805 |@@@@                                                |
[128, 256)        237371 |@@@@                                                |
[256, 512)        196296 |@@@                                                 |
[512, 1K)         133903 |@@                                                  |
[1K, 2K)           54405 |@                                                   |
[2K, 4K)           24229 |                                                    |
[4K, 8K)            2226 |                                                    |
[8K, 16K)            480 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 15649059
@runq_delay_us: 
[1]               425841 |@@@@@@@                                             |
[2, 4)           2858723 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2709475 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@   |
[8, 16)          1292026 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1153225 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          480207 |@@@@@@@@                                            |
[64, 128)         260348 |@@@@                                                |
[128, 256)        237850 |@@@@                                                |
[256, 512)        196579 |@@@                                                 |
[512, 1K)         133997 |@@                                                  |
[1K, 2K)           54428 |                                                    |
[2K, 4K)           24231 |                                                    |
[4K, 8K)            2226 |                                                    |
[8K, 16K)            480 |                                                    |
[16K, 32K)           210 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 15781528
@runq_delay_us: 
[1]               426451 |@@@@@@@                                             |
[2, 4)           2893553 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2729344 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@   |
[8, 16)          1301660 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1162929 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          483424 |@@@@@@@@                                            |
[64, 128)         261042 |@@@@                                                |
[128, 256)        238433 |@@@@                                                |
[256, 512)        197002 |@@@                                                 |
[512, 1K)         134182 |@@                                                  |
[1K, 2K)           54506 |                                                    |
[2K, 4K)           24272 |                                                    |
[4K, 8K)            2226 |                                                    |
[8K, 16K)            482 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 15911928
@runq_delay_us: 
[1]               429250 |@@@@@@@                                             |
[2, 4)           2929480 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2748569 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[8, 16)          1311776 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1173653 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          486921 |@@@@@@@@                                            |
[64, 128)         261776 |@@@@                                                |
[128, 256)        238760 |@@@@                                                |
[256, 512)        197236 |@@@                                                 |
[512, 1K)         134274 |@@                                                  |
[1K, 2K)           54523 |                                                    |
[2K, 4K)           24273 |                                                    |
[4K, 8K)            2227 |                                                    |
[8K, 16K)            482 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16048237
@runq_delay_us: 
[1]               433716 |@@@@@@@                                             |
[2, 4)           2962281 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2767864 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[8, 16)          1321554 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1184062 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          491382 |@@@@@@@@                                            |
[64, 128)         263091 |@@@@                                                |
[128, 256)        239502 |@@@@                                                |
[256, 512)        197635 |@@@                                                 |
[512, 1K)         134405 |@@                                                  |
[1K, 2K)           54543 |                                                    |
[2K, 4K)           24284 |                                                    |
[4K, 8K)            2227 |                                                    |
[8K, 16K)            482 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16183790
@runq_delay_us: 
[1]               436356 |@@@@@@@                                             |
[2, 4)           2995877 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2788152 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[8, 16)          1331895 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1194546 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          495229 |@@@@@@@@                                            |
[64, 128)         264051 |@@@@                                                |
[128, 256)        240024 |@@@@                                                |
[256, 512)        197954 |@@@                                                 |
[512, 1K)         134546 |@@                                                  |
[1K, 2K)           54575 |                                                    |
[2K, 4K)           24303 |                                                    |
[4K, 8K)            2227 |                                                    |
[8K, 16K)            482 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16318622
@runq_delay_us: 
[1]               436930 |@@@@@@@                                             |
[2, 4)           3031572 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2808501 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@    |
[8, 16)          1341325 |@@@@@@@@@@@@@@@@@@@@@@@                             |
[16, 32)         1204091 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          498501 |@@@@@@@@                                            |
[64, 128)         264787 |@@@@                                                |
[128, 256)        240435 |@@@@                                                |
[256, 512)        198200 |@@@                                                 |
[512, 1K)         134643 |@@                                                  |
[1K, 2K)           54583 |                                                    |
[2K, 4K)           24311 |                                                    |
[4K, 8K)            2227 |                                                    |
[8K, 16K)            482 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16450301
@runq_delay_us: 
[1]               441029 |@@@@@@@                                             |
[2, 4)           3065394 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2828415 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[8, 16)          1350614 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)         1213434 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          501777 |@@@@@@@@                                            |
[64, 128)         265666 |@@@@                                                |
[128, 256)        241053 |@@@@                                                |
[256, 512)        198580 |@@@                                                 |
[512, 1K)         134779 |@@                                                  |
[1K, 2K)           54646 |                                                    |
[2K, 4K)           24313 |                                                    |
[4K, 8K)            2228 |                                                    |
[8K, 16K)            483 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16584747
@runq_delay_us: 
[1]               442257 |@@@@@@@                                             |
[2, 4)           3099459 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2849157 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[8, 16)          1360577 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)         1223420 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          505436 |@@@@@@@@                                            |
[64, 128)         266258 |@@@@                                                |
[128, 256)        241431 |@@@@                                                |
[256, 512)        198805 |@@@                                                 |
[512, 1K)         134867 |@@                                                  |
[1K, 2K)           54666 |                                                    |
[2K, 4K)           24320 |                                                    |
[4K, 8K)            2228 |                                                    |
[8K, 16K)            483 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16717052
@runq_delay_us: 
[1]               449788 |@@@@@@@                                             |
[2, 4)           3132765 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2867606 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[8, 16)          1369914 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)         1233031 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          509061 |@@@@@@@@                                            |
[64, 128)         267111 |@@@@                                                |
[128, 256)        241889 |@@@@                                                |
[256, 512)        198995 |@@@                                                 |
[512, 1K)         134994 |@@                                                  |
[1K, 2K)           54690 |                                                    |
[2K, 4K)           24324 |                                                    |
[4K, 8K)            2228 |                                                    |
[8K, 16K)            483 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16855609
@runq_delay_us: 
[1]               460732 |@@@@@@@                                             |
[2, 4)           3162089 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2889289 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[8, 16)          1380039 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)         1242728 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          512523 |@@@@@@@@                                            |
[64, 128)         268095 |@@@@                                                |
[128, 256)        242509 |@@@                                                 |
[256, 512)        199205 |@@@                                                 |
[512, 1K)         135120 |@@                                                  |
[1K, 2K)           54749 |                                                    |
[2K, 4K)           24341 |                                                    |
[4K, 8K)            2228 |                                                    |
[8K, 16K)            483 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 16998865
@runq_delay_us: 
[1]               466762 |@@@@@@@                                             |
[2, 4)           3193461 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2911216 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[8, 16)          1390916 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)         1253410 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          516598 |@@@@@@@@                                            |
[64, 128)         268936 |@@@@                                                |
[128, 256)        242933 |@@@                                                 |
[256, 512)        199451 |@@@                                                 |
[512, 1K)         135191 |@@                                                  |
[1K, 2K)           54767 |                                                    |
[2K, 4K)           24347 |                                                    |
[4K, 8K)            2228 |                                                    |
[8K, 16K)            483 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 17139305
@runq_delay_us: 
[1]               472677 |@@@@@@@                                             |
[2, 4)           3222697 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2932138 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[8, 16)          1400563 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)         1263366 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          521018 |@@@@@@@@                                            |
[64, 128)         270720 |@@@@                                                |
[128, 256)        244160 |@@@                                                 |
[256, 512)        199921 |@@@                                                 |
[512, 1K)         135400 |@@                                                  |
[1K, 2K)           54898 |                                                    |
[2K, 4K)           24372 |                                                    |
[4K, 8K)            2229 |                                                    |
[8K, 16K)            483 |                                                    |
[16K, 32K)           211 |                                                    |
[32K, 64K)            53 |                                                    |
[64K, 128K)           36 |                                                    |
[128K, 256K)          12 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 17275193
@runq_delay_us: 
[1]               478031 |@@@@@@@                                             |
[2, 4)           3252412 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)           2953816 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@     |
[8, 16)          1410855 |@@@@@@@@@@@@@@@@@@@@@@                              |
[16, 32)         1273624 |@@@@@@@@@@@@@@@@@@@@                                |
[32, 64)          525504 |@@@@@@@@                                            |
[64, 128)         271963 |@@@@                                                |
[128, 256)        245157 |@@@                                                 |
[256, 512)        200442 |@@@                                                 |
[512, 1K)         135642 |@@                                                  |
[1K, 2K)           54939 |                                                    |
